TIPOS;ANO;FROTA
Motocicleta;2016;976500
Automóvel;2016;546160
Caminhonete;2016;179357
Caminhão;2016;66071
Reboque;2016;35325
Ônibus;2016;23946
Outros;2016;261
Motocicleta;2017;1027387
Automóvel;2017;569664
Caminhonete;2017;190066
Caminhão;2017;68481
Reboque;2017;37830
Ônibus;2017;24428
Outros;2017;319
Motocicleta;2018;1077286
Automóvel;2018;597649
Caminhonete;2018;202645
Caminhão;2018;70715
Reboque;2018;40479
Ônibus;2018;25094
Outros;2018;279
Motocicleta;2019;1130123
Automóvel;2019;629297
Caminhonete;2019;215415
Caminhão;2019;73428
Reboque;2019;48053
Ônibus;2019;268884
Outros;2019;281
Motocicleta;2020;1180497
Automóvel;2020;664142
Caminhonete;2020;215415
Caminhão;2020;76125
Reboque;2020;48053
Ônibus;2020;26884
Outros;2020;281
