Municípios;2016;2017;2018;2019;2020;2021;Total
ABAETETUBA;212;214;216;164;216;124;1146
ABEL FIGUEIREDO;32;33;34;34;23;16;172
ACARA;117;118;119;120;120;85;679
AGUA AZUL DO NORTE;22;24;27;27;26;24;150
ALENQUER;117;117;118;110;97;27;586
ALMEIRIM;52;53;54;42;31;20;252
ALTAMIRA;995;996;997;671;972;413;5044
ANAJAS;5;5;5;4;2;4;25
ANANINDEUA;2.886;2.909;2915;1771;2922;1838;15241
ANAPU;84;85;86;73;76;40;444
AUGUSTO CORREA;44;44;45;28;27;7;195
AURORA DO PARA;29;29;30;22;25;16;151
AVEIRO;5;5;5;3;3;3;24
BAGRE;2;2;3;3;2;2;14
BAIAO;33;33;34;19;18;12;149
BANNACH;4;4;4;5;5;2;24
BARCARENA;302;304;305;276;302;254;1743
BELTERRA;44;45;46;42;42;25;244
BELÉM;10405;10452;10469;7302;9885;6154;54667
BENEVIDES;283;283;285;161;258;130;1400
BOM JESUS DO TOCANTINS;88;88;89;70;43;22;400
BONITO;25;25;26;17;16;2;111
BRAGANCA;303;304;306;174;252;94;1433
BRASIL NOVO;77;77;77;44;62;19;356
BREJO GRANDE DO ARAGUAIA;22;22;23;23;17;6;113
BREU BRANCO;121;121;121;84;88;29;564
BREVES;40;41;42;44;29;9;205
BUJARU;27;28;28;21;22;5;131
CACHOEIRA DO ARARI;30;30;30;24;27;23;164
CACHOEIRA DO PIRIA;29;29;29;21;14;10;132
CAMETA;187;188;190;116;127;43;851
CANAA DOS CARAJAS;348;350;353;356;352;265;2024
CAPANEMA;229;228;228;125;205;72;1087
CAPITAO POCO;99;101;99;63;70;27;459
CASTANHAL;688;689;691;497;664;444;3673
CHAVES;3;2;2;2;0;0;9
COLARES;22;23;23;18;10;4;100
CONCEICAO DO ARAGUAIA;293;294;296;190;211;70;1354
CONCORDIA DO PARA;47;47;48;30;38;18;228
CUMARU DO NORTE;18;18;19;20;20;19;114
CURIONOPOLIS;119;120;122;71;99;84;615
CURRALINHO;6;6;6;6;6;3;33
CURUA;8;8;9;11;9;4;49
CURUCA;66;66;67;39;34;25;297
DOM ELISEU;123;123;124;74;90;58;592
ELDORADO DOS CARAJAS;155;155;157;94;148;86;795
FARO;3;3;4;2;3;0;15
FLORESTA DO ARAGUAIA;40;42;44;43;42;31;242
GARRAFAO DO NORTE;47;48;49;27;15;5;191
